sourceFile,description,amount,type,category,subcategory
amex-gold.csv,GRUBHUB INC,34.2,debit,Dining,Food Delivery
amex-gold.csv,AMAZON.COM,129,debit,Shopping,Online Retail
amex-gold.csv,DELTA AIR LINES,387.5,debit,Travel,Flight
amex-gold.csv,WHOLEFOODS #SF,92.15,debit,Groceries,Specialty Food
amex-gold.csv,MARRIOTT HOTELS,312,debit,Travel,Hotel
amex-gold.csv,UBER *TRIP,18.4,debit,Transport,Rideshare
amex-gold.csv,APPLE STORE,999,debit,Shopping,Electronics
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,2200,credit,Transfer,Transfer
amex-gold.csv,SWEETGREEN,16.75,debit,Dining,Fast Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,AMAZON.COM REFUND,45,credit,Shopping,Online Retail
amex-gold.csv,INSTACART,78.32,debit,Groceries,Grocery Delivery
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,RESY *RESTAURANT,145,debit,Dining,Restaurant
amex-gold.csv,DELTA AIR LINES,214,debit,Travel,Flight
amex-gold.csv,WHOLEFOODS #SF,88.4,debit,Groceries,Specialty Food
amex-gold.csv,AMAZON.COM,67.49,debit,Shopping,Online Retail
amex-gold.csv,GRUBHUB INC,28.9,debit,Dining,Food Delivery
amex-gold.csv,SWEETGREEN,15.25,debit,Dining,Fast Food
amex-gold.csv,APPLE.COM/BILL,2.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,ANTHROPIC *API,23.47,debit,Subscriptions,Software/SaaS
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1800,credit,Transfer,Transfer
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,UBER *TRIP,22.1,debit,Transport,Rideshare
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,INSTACART,94.15,debit,Groceries,Grocery Delivery
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,BLUE BOTTLE COFFEE,9.5,debit,Dining,Coffee Shop
amex-gold.csv,WHOLEFOODS #SF,81.7,debit,Groceries,Specialty Food
amex-gold.csv,AMAZON.COM,44.99,debit,Shopping,Online Retail
amex-gold.csv,SWEETGREEN,17,debit,Dining,Fast Food
amex-gold.csv,GRUBHUB INC,31.4,debit,Dining,Food Delivery
amex-gold.csv,APPLE STORE,49,debit,Shopping,Electronics
amex-gold.csv,ANTHROPIC *API,18.92,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1600,credit,Transfer,Transfer
amex-gold.csv,DELTA AIR LINES REFUND,100,credit,Travel,Flight
amex-gold.csv,INSTACART,71.88,debit,Groceries,Grocery Delivery
amex-gold.csv,UBER *TRIP,15.6,debit,Transport,Rideshare
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,BLUE BOTTLE COFFEE,8.75,debit,Dining,Coffee Shop
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,RESY *RESTAURANT,210,debit,Dining,Restaurant
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1400,credit,Transfer,Transfer
amex-gold.csv,GRUBHUB INC,41.5,debit,Dining,Food Delivery
amex-gold.csv,SWEETGREEN,16.25,debit,Dining,Fast Food
amex-gold.csv,DELTA AIR LINES,285,debit,Travel,Flight
amex-gold.csv,MARRIOTT NYC,420,debit,Travel,Hotel
amex-gold.csv,WHOLEFOODS #SF,78.9,debit,Groceries,Specialty Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,ANTHROPIC *API,31.5,debit,Subscriptions,Software/SaaS
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,UBER *TRIP,24.3,debit,Transport,Rideshare
amex-gold.csv,SWEETGREEN,17.8,debit,Dining,Fast Food
amex-gold.csv,INSTACART,88.45,debit,Groceries,Grocery Delivery
amex-gold.csv,AMAZON.COM,55,debit,Shopping,Online Retail
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1450,credit,Transfer,Transfer
amex-gold.csv,GRUBHUB INC,38.9,debit,Dining,Food Delivery
amex-gold.csv,SWEETGREEN,15.8,debit,Dining,Fast Food
amex-gold.csv,WHOLEFOODS #SF,84.2,debit,Groceries,Specialty Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,UBER *TRIP,19.5,debit,Transport,Rideshare
amex-gold.csv,ANTHROPIC *API,27.8,debit,Subscriptions,Software/SaaS
amex-gold.csv,INSTACART,72.3,debit,Groceries,Grocery Delivery
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,BLUE BOTTLE COFFEE,9.5,debit,Dining,Coffee Shop
amex-gold.csv,SWEETGREEN,16.9,debit,Dining,Fast Food
amex-gold.csv,AMAZON.COM,67.44,debit,Shopping,Online Retail
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1350,credit,Transfer,Transfer
amex-gold.csv,GRUBHUB INC,44.2,debit,Dining,Food Delivery
amex-gold.csv,DELTA AIR LINES,385,debit,Travel,Flight
amex-gold.csv,AIRBNB,650,debit,Travel,Vacation Rental
amex-gold.csv,WHOLEFOODS #SF,92.3,debit,Groceries,Specialty Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,UBER *TRIP,31.8,debit,Transport,Rideshare
amex-gold.csv,ANTHROPIC *API,35.2,debit,Subscriptions,Software/SaaS
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,SWEETGREEN,18.9,debit,Dining,Fast Food
amex-gold.csv,INSTACART,95.4,debit,Groceries,Grocery Delivery
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1800,credit,Transfer,Transfer
amex-gold.csv,GRUBHUB INC,36.8,debit,Dining,Food Delivery
amex-gold.csv,SWEETGREEN,17.2,debit,Dining,Fast Food
amex-gold.csv,WHOLEFOODS #SF,88.75,debit,Groceries,Specialty Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,UBER *TRIP,22.4,debit,Transport,Rideshare
amex-gold.csv,ANTHROPIC *API,29.6,debit,Subscriptions,Software/SaaS
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,INSTACART,81.2,debit,Groceries,Grocery Delivery
amex-gold.csv,BLUE BOTTLE COFFEE,9.25,debit,Dining,Coffee Shop
amex-gold.csv,AMAZON.COM,44.99,debit,Shopping,Online Retail
amex-gold.csv,SWEETGREEN,16.5,debit,Dining,Fast Food
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1400,credit,Transfer,Transfer
amex-gold.csv,GRUBHUB INC,39.5,debit,Dining,Food Delivery
amex-gold.csv,SWEETGREEN,15.9,debit,Dining,Fast Food
amex-gold.csv,WHOLEFOODS #SF,91.4,debit,Groceries,Specialty Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,UBER *TRIP,28.7,debit,Transport,Rideshare
amex-gold.csv,ANTHROPIC *API,41.3,debit,Subscriptions,Software/SaaS
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,INSTACART,76.8,debit,Groceries,Grocery Delivery
amex-gold.csv,RESY *RESTAURANT,125,debit,Dining,Restaurant
